codigo;tipo;descricao;cidade;estado;data;ano;hora;aeronave_liberada;status_investigacao;aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo;aeronave_fabricante;motor_tipo;aeronave_motor_quantidade;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_fase_operacao;aeronave_nivel_dano
40107;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;GURUPÁ;PA;12/01/2010;2010;14:30:00;SIM;FINALIZADA;1;NÃO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;7;1977;BRASIL;POUSO;LEVE
40147;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;UNIÃO DA VITÓRIA;PR;08/04/2010;2010;14:20:00;SIM;FINALIZADA;1;SIM;AVIÃO;PIPER AIRCRAFT;PISTÃO;BIMOTOR;6;1997;BRASIL;POUSO;SUBSTANCIAL
40148;ACIDENTE;PANE SECA;CAMPO GRANDE;MS;19/03/2010;2010;19:30:00;SIM;FINALIZADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;6;1962;BRASIL;APROXIMAÇÃO FINAL;SUBSTANCIAL
40149;ACIDENTE;FALHA DO MOTOR EM VOO;LUZIÂNIA;GO;21/03/2010;2010;20:45:00;SIM;FINALIZADA;1;NÃO;AVIÃO;XAVANTE;PISTÃO;MONOMOTOR;2;1974;BRASIL;DECOLAGEM;DESTRUÍDA
40150;INCIDENTE GRAVE;COM TREM DE POUSO;SANTA MARIA;RS;10/03/2010;2010;17:20:00;SIM;FINALIZADA;1;NÃO;AVIÃO;BEECH AIRCRAFT;PISTÃO;MONOMOTOR;6;1974;BRASIL;POUSO;LEVE
40168;INCIDENTE;FALHA DO MOTOR EM VOO;MONTES CLAROS;MG;17/03/2010;2010;01:34:00;INDETERMINADO;INDETERMINADA;1;NÃO;AVIÃO;DASSAULT AVIATION;JATO;BIMOTOR;9;1975;BRASIL;CRUZEIRO;NENHUM
40170;INCIDENTE;ESTOURO DE PNEU;MANAUS;AM;20/03/2010;2010;11:00:00;INDETERMINADO;INDETERMINADA;1;NÃO;AVIÃO;MCDONNELL DOUGLAS;JATO;TRIMOTOR;7;1975;BRASIL;CORRIDA APÓS POUSO;NENHUM
40171;ACIDENTE;FALHA DO MOTOR EM VOO;PORTO NACIONAL;TO;07/04/2010;2010;18:45:00;SIM;FINALIZADA;1;NÃO;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;2;1991;BRASIL;DECOLAGEM;SUBSTANCIAL
40190;INCIDENTE;OUTROS;RIO DE JANEIRO;RJ;06/04/2010;2010;02:35:00;INDETERMINADO;INDETERMINADA;1;NÃO;AVIÃO;FOKKER;JATO;BIMOTOR;107;1993;BRASIL;TÁXI;NENHUM
40207;INCIDENTE;TRÁFEGO AÉREO;CRUZEIRO DO SUL;AC;06/02/2010;2010;22:30:00;INDETERMINADO;INDETERMINADA;1;NÃO;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;6;1989;BRASIL;POUSO;NENHUM
40209;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;21/03/2010;2010;13:46:00;INDETERMINADO;INDETERMINADA;1;NÃO;AVIÃO;XAVANTE;PISTÃO;MONOMOTOR;2;1978;BRASIL;RETA FINAL;NENHUM
40210;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;20/03/2010;2010;20:02:00;INDETERMINADO;INDETERMINADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;5;1974;BRASIL;SUBIDA;NENHUM
40211;INCIDENTE;TRÁFEGO AÉREO;RIO DE JANEIRO;RJ;03/01/2010;2010;12:00:00;SIM;FINALIZADA;1;NÃO;HELICÓPTERO;SIKORSKY AIRCRAFT;TURBOEIXO;BIMOTOR;14;2007;BRASIL;DECOLAGEM;NENHUM
40212;INCIDENTE;FALHA DO MOTOR NO SOLO;UBERLÂNDIA;MG;20/03/2010;2010;12:14:00;INDETERMINADO;INDETERMINADA;1;NÃO;AVIÃO;INDETERMINADO;PISTÃO;MONOMOTOR;4;2008;BRASIL;CORRIDA APÓS POUSO;NENHUM
